persona,regime,domain,run_index,embedding_cosine_similarity,claude_score,gpt4_score,gemini_score,pfi,semantic_drift
Nova,T3,NARR,1,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,NARR,2,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,NARR,3,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,ANAL,1,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,ANAL,2,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,ANAL,3,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,SELF,1,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,SELF,2,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,SELF,3,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,PHIL,1,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,PHIL,2,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Nova,T3,PHIL,3,0.9199999999999999,9.7,9.2,9.399999999999999,0.9316666666666665,0.08000000000000007
Claude-Analyst,T3,TECH,1,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,TECH,2,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,TECH,3,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,ANAL,1,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,ANAL,2,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,ANAL,3,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,PHIL,1,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,PHIL,2,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,PHIL,3,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,SELF,1,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,SELF,2,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,SELF,3,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,NARR,1,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,NARR,2,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Claude-Analyst,T3,NARR,3,0.89,9.4,8.9,9.1,0.9016666666666666,0.10999999999999999
Grok-Vector,T3,ANAL,1,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,ANAL,2,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,ANAL,3,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,TECH,1,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,TECH,2,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,TECH,3,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Grok-Vector,T3,PHIL,1,0.94,9.9,9.4,9.6,0.9516666666666667,0.06000000000000005
Ziggy,T3,PHIL,1,0.9047459659802474,9.0,9.0,9.0,0.9023729829901237,0.09525403401975263
Ziggy,T3,PHIL,2,0.9203225196004614,9.0,9.0,9.0,0.9101612598002307,0.07967748039953859
Ziggy,T3,PHIL,3,0.8398776742845534,9.0,9.0,9.0,0.8699388371422767,0.1601223257154466
Ziggy,T3,NARR,1,0.7263652252125415,9.0,9.0,8.0,0.7965159459396041,0.27363477478745846
Ziggy,T3,NARR,2,0.8410629645246401,9.0,9.0,9.0,0.87053148226232,0.15893703547535987
Ziggy,T3,NARR,3,0.8355318126427573,9.0,9.0,9.0,0.8677659063213787,0.16446818735724267
Ziggy,T3,TECH,1,0.9131009244098511,9.0,9.0,9.0,0.9065504622049256,0.08689907559014887
Ziggy,T3,TECH,2,0.770180871303987,9.0,9.0,8.0,0.8184237689853269,0.22981912869601295
Ziggy,T3,TECH,3,0.8978600092891086,9.0,9.0,8.0,0.8822633379778876,0.10213999071089142
Ziggy,T3,ANAL,1,0.8789764421802008,9.0,9.0,9.0,0.8894882210901004,0.12102355781979923
Ziggy,T3,ANAL,2,0.920601928254546,9.0,9.0,9.0,0.910300964127273,0.07939807174545399
Ziggy,T3,ANAL,3,0.7358187141372186,9.0,9.0,7.0,0.7845760237352759,0.26418128586278145
Ziggy,T3,SELF,1,0.8662515900671302,9.0,10.0,9.0,0.8997924617002317,0.13374840993286985
Ziggy,T3,SELF,2,0.8760308755777043,9.0,10.0,9.0,0.9046821044555189,0.12396912442229568
Ziggy,T3,SELF,3,0.862824597893421,9.0,10.0,9.0,0.8980789656133772,0.13717540210657897
Nova,T3,SELF,1,0.773798761206755,9.0,10.0,9.0,0.8535660472700441,0.22620123879324505
Nova,T3,SELF,2,0.8682161956583837,9.0,10.0,9.0,0.9007747644958586,0.1317838043416163
Nova,T3,SELF,3,0.9702411007049394,9.0,10.0,9.0,0.9517872170191364,0.029758899295060592
Nova,T3,TECH,1,0.9317261135262946,9.0,9.0,9.0,0.9158630567631474,0.06827388647370536
Nova,T3,TECH,2,0.9508306624954106,9.0,9.0,9.0,0.9254153312477054,0.049169337504589405
Nova,T3,TECH,3,0.9604776881306787,9.0,9.0,9.0,0.9302388440653393,0.039522311869321314
Nova,T3,PHIL,1,0.8756890699327547,9.0,9.0,9.0,0.8878445349663774,0.12431093006724525
Nova,T3,PHIL,2,0.810680670881261,9.0,9.0,9.0,0.8553403354406305,0.18931932911873905
Nova,T3,PHIL,3,0.843341542883532,9.0,9.0,9.0,0.871670771441766,0.15665845711646798
Nova,T3,ANAL,1,0.7426811288180767,9.0,9.0,7.0,0.788007231075705,0.2573188711819233
Nova,T3,ANAL,2,0.8322027973010284,9.0,9.0,8.0,0.8494347319838476,0.16779720269897158
Nova,T3,ANAL,3,0.8176262110657804,9.0,9.0,8.0,0.8421464388662234,0.18237378893421963
Nova,T3,NARR,1,0.901660643306198,9.0,8.0,8.0,0.8674969883197656,0.098339356693802
Nova,T3,NARR,2,0.883546654536175,9.0,9.0,8.0,0.8751066606014208,0.11645334546382502
Nova,T3,NARR,3,0.872266314389238,9.0,9.0,7.0,0.8527998238612857,0.12773368561076204
Claude-Analyst,T3,SELF,1,0.9191062614506733,9.0,10.0,9.0,0.9262197973920033,0.08089373854932669
Claude-Analyst,T3,SELF,2,0.8933618759796498,9.0,9.0,8.0,0.8800142713231582,0.10663812402035022
Claude-Analyst,T3,SELF,3,0.8891622762276065,9.0,10.0,9.0,0.91124780478047,0.11083772377239354
Claude-Analyst,T3,PHIL,1,0.9309127823436226,9.0,9.0,9.0,0.9154563911718113,0.06908721765637738
Claude-Analyst,T3,PHIL,2,0.9205447340703611,9.0,9.0,9.0,0.9102723670351806,0.07945526592963892
Claude-Analyst,T3,PHIL,3,0.8842238422208399,9.0,9.0,8.0,0.8754452544437532,0.11577615777916006
Claude-Analyst,T3,ANAL,1,0.9179123697488007,8.0,9.0,8.0,0.8756228515410671,0.08208763025119925
Claude-Analyst,T3,ANAL,2,0.8525989131614881,8.0,9.0,9.0,0.8596327899140773,0.14740108683851194
Claude-Analyst,T3,ANAL,3,0.8480603080072389,8.0,9.0,8.0,0.8406968206702861,0.15193969199276114
Claude-Analyst,T3,NARR,1,0.9142005425618802,9.0,9.0,8.0,0.8904336046142733,0.08579945743811979
Claude-Analyst,T3,NARR,2,0.8666103095726527,9.0,9.0,8.0,0.8666384881196596,0.13338969042734727
Claude-Analyst,T3,NARR,3,0.8300739811986968,9.0,9.0,8.0,0.8483703239326816,0.1699260188013032
Claude-Analyst,T3,TECH,1,0.8866584889046901,9.0,9.0,9.0,0.8933292444523451,0.11334151109530988
Claude-Analyst,T3,TECH,2,0.83597174676854,9.0,7.0,7.0,0.8013192067176034,0.16402825323145998
Claude-Analyst,T3,TECH,3,0.8838581677395895,9.0,9.0,9.0,0.8919290838697947,0.11614183226041053
Grok-Vector,T3,NARR,1,0.8369695080393003,9.0,8.0,7.0,0.8184847540196502,0.16303049196069974
Grok-Vector,T3,NARR,2,0.7690536332749288,9.0,9.0,8.0,0.8178601499707977,0.23094636672507118
Grok-Vector,T3,NARR,3,0.8959022945662061,9.0,9.0,8.0,0.8812844806164364,0.10409770543379393
Grok-Vector,T3,SELF,1,0.8737514573591603,9.0,9.0,9.0,0.8868757286795801,0.12624854264083973
Grok-Vector,T3,SELF,2,0.8253319563678254,9.0,10.0,8.0,0.8626659781839128,0.17466804363217459
Grok-Vector,T3,SELF,3,0.8910767728940336,9.0,9.0,9.0,0.8955383864470168,0.10892322710596636
Grok-Vector,T3,ANAL,1,0.8592688170828834,9.0,9.0,8.0,0.862967741874775,0.14073118291711662
Grok-Vector,T3,ANAL,2,0.8600383276573592,9.0,9.0,8.0,0.8633524971620129,0.13996167234264079
Grok-Vector,T3,ANAL,3,0.8311152991798127,9.0,9.0,7.0,0.832224316256573,0.16888470082018725
Grok-Vector,T3,TECH,1,0.8682570895996784,9.0,9.0,9.0,0.8841285447998393,0.1317429104003216
Grok-Vector,T3,TECH,2,0.8514658109541999,9.0,9.0,9.0,0.8757329054770999,0.14853418904580007
Grok-Vector,T3,TECH,3,0.886506511227112,9.0,9.0,9.0,0.893253255613556,0.11349348877288801
Grok-Vector,T3,PHIL,1,0.8660053705802012,9.0,9.0,8.0,0.8663360186234339,0.13399462941979878
Grok-Vector,T3,PHIL,2,0.9095005089897263,9.0,9.0,8.0,0.8880835878281965,0.09049949101027366
Grok-Vector,T3,PHIL,3,0.8834574726390325,9.0,9.0,8.0,0.8750620696528495,0.11654252736096748
